group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
D001,17:33,4,72,reservation,17:35,15,false,30,early four-top booking
D002,17:36,4,78,walkin,,0,false,26,family walk-in
D003,17:38,5,82,walkin,,0,false,18,large walk-in group
D004,17:40,2,66,walkin,,0,false,26,pair arriving early
D005,17:41,2,64,walkin,,0,false,26,second pair
D006,17:43,4,80,walkin,,0,false,24,mid-rush four-top
D007,17:44,4,76,walkin,,0,false,28,coworker table
D008,17:47,4,84,reservation,17:45,15,false,28,booked family table
D009,17:48,4,84,walkin,,0,false,20,late family
D010,17:50,5,74,walkin,,0,false,20,five-top burst
D011,17:53,6,88,reservation,17:55,15,false,20,slightly early six-top
D012,17:56,4,70,walkin,,0,false,30,extra four-top
D013,17:58,2,68,walkin,,0,false,20,walk-in pair
D014,18:01,2,66,walkin,,0,false,16,queue pair
D015,18:04,2,60,walkin,,0,false,16,shorter pair
D016,18:06,2,66,walkin,,0,false,24,late pair
D017,18:07,2,66,walkin,,0,false,28,dense pair wave
D018,18:10,2,86,walkin,,0,false,16,lingering pair
D019,18:12,2,68,walkin,,0,false,22,another pair
D020,18:14,5,78,walkin,,0,false,18,five-top after work
D021,18:16,2,72,walkin,,0,false,28,queue pair later
D022,18:17,2,88,walkin,,0,false,26,slow pair
D023,18:18,4,74,walkin,,0,false,20,four-top wave
D024,18:20,4,84,walkin,,0,false,28,another four-top
D025,18:22,3,86,walkin,,0,false,20,trio joins rush
D026,18:25,3,86,walkin,,0,false,18,second trio
D027,18:28,6,92,reservation,18:30,15,false,30,late-arriving six-top booking
D028,18:31,4,80,walkin,,0,false,28,late family of four
D029,18:34,4,80,walkin,,0,false,30,closing four-top
D030,18:36,5,86,walkin,,0,false,26,final five-top
