group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
L001,11:28,2,36,walkin,,0,false,20,early office pair
L002,11:31,1,28,walkin,,0,false,16,solo noodle stop
L003,11:34,4,50,reservation,11:35,10,false,24,team lunch booking
L004,11:37,2,34,walkin,,0,false,18,quick lunch pair
L005,11:40,3,44,walkin,,0,false,20,friends before class
L006,11:43,2,37,walkin,,0,false,18,late meeting pair
L007,11:46,5,62,walkin,,0,false,28,extended family lunch
L008,11:49,1,26,walkin,,0,false,14,counter solo
L009,11:52,2,35,reservation,11:50,10,false,24,late reservation pair
L010,11:55,4,54,walkin,,0,false,26,coworker table
L011,11:58,3,46,walkin,,0,false,20,students between classes
L012,12:01,2,33,walkin,,0,false,18,short lunch stop
L013,12:04,6,72,reservation,12:05,10,false,30,birthday lunch group
L014,12:07,2,34,walkin,,0,false,18,quick pair
L015,12:10,4,56,walkin,,0,false,24,department table
L016,12:13,1,27,walkin,,0,false,14,solo regular
L017,12:16,3,45,walkin,,0,false,20,late trio
L018,12:19,2,36,reservation,12:20,10,false,24,on-time booking pair
L019,12:23,5,64,walkin,,0,false,28,family with teens
L020,12:27,2,34,walkin,,0,false,18,short office pair
L021,12:31,4,55,walkin,,0,false,24,colleagues after seminar
L022,12:36,3,44,walkin,,0,false,20,mid-rush trio
L023,12:41,2,35,reservation,12:40,10,false,22,booked catch-up meal
L024,12:47,1,25,walkin,,0,false,14,final solo diner
L025,12:53,4,52,walkin,,0,false,22,late family table
L026,12:59,2,34,walkin,,0,false,18,afternoon pair
L027,13:06,3,42,walkin,,0,false,18,tail-end trio
L028,13:14,2,32,walkin,,0,false,16,final lunch pair
