group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
R001,17:30,2,72,reservation,17:30,10,false,25,"on-time couple reservation"
R002,17:36,4,82,walkin,,0,false,30,"early walk-in family"
R003,17:42,3,76,reservation,17:40,10,false,25,"slightly late reservation"
R004,17:50,2,65,walkin,,0,false,20,"walk-in pair"
R005,17:55,5,90,reservation,17:50,10,true,35,"no-show birthday booking"
R006,18:02,4,84,reservation,18:00,10,false,30,"booked family table"
R007,18:08,2,68,walkin,,0,false,18,"after-work pair"
R008,18:16,6,96,reservation,18:10,10,false,35,"late but within grace"
R009,18:24,3,74,walkin,,0,false,22,"friends trio"
R010,18:32,2,70,reservation,18:25,10,false,20,"late reservation couple"
R011,18:40,4,86,walkin,,0,false,25,"shopping break group"
R012,18:48,5,92,reservation,18:40,10,false,30,"reservation arriving near grace end"
R013,18:56,2,62,walkin,,0,false,15,"quick pair"
R014,19:05,4,88,reservation,19:00,10,false,28,"scheduled family"
R015,19:14,3,72,walkin,,0,false,20,"walk-in trio"
R016,19:27,2,68,reservation,19:15,10,false,22,"late arrival beyond grace"
