group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
S001,18:00,2,70,walkin,,0,false,18,"opening pair"
S002,18:03,4,85,walkin,,0,false,22,"family walk-in"
S003,18:06,3,78,reservation,18:05,10,false,20,"slightly late reservation"
S004,18:09,5,92,walkin,,0,false,18,"peak family"
S005,18:12,2,65,walkin,,0,false,12,"low tolerance pair"
S006,18:15,6,100,reservation,18:10,10,false,25,"reservation within grace"
S007,18:18,4,88,walkin,,0,false,16,"crowded walk-in group"
S008,18:22,2,72,walkin,,0,false,10,"impatient pair"
S009,18:26,7,105,reservation,18:20,10,false,30,"large reservation"
S010,18:30,3,80,walkin,,0,false,15,"students under time pressure"
S011,18:34,5,95,walkin,,0,false,18,"family with children"
S012,18:38,2,68,reservation,18:30,10,true,18,"no-show couple booking"
S013,18:42,4,90,walkin,,0,false,14,"movie crowd"
S014,18:47,6,98,walkin,,0,false,20,"late large walk-in"
S015,18:52,2,60,walkin,,0,false,8,"very low tolerance pair"
S016,18:58,3,82,reservation,18:50,10,false,18,"late reservation near grace end"
S017,19:05,5,94,walkin,,0,false,16,"peak overflow"
S018,19:12,2,66,walkin,,0,false,10,"impatient late pair"
S019,19:20,4,89,reservation,19:10,10,false,18,"reservation beyond grace"
S020,19:28,3,76,walkin,,0,false,14,"tail-end trio"
