group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
H001,17:40,2,60,walkin,,0,false,25,"small anchor pair"
H002,17:45,6,95,reservation,17:45,15,false,40,"celebration booking"
H003,17:52,5,88,walkin,,0,false,35,"family group"
H004,18:00,8,110,reservation,18:00,15,false,45,"large birthday table"
H005,18:08,3,70,walkin,,0,false,25,"friends trio"
H006,18:15,7,100,walkin,,0,false,40,"sports team parents"
H007,18:24,2,65,walkin,,0,false,20,"date night pair"
H008,18:33,6,92,reservation,18:30,15,false,35,"work celebration"
H009,18:41,4,80,walkin,,0,false,30,"siblings dinner"
H010,18:50,5,90,walkin,,0,false,35,"tour group spillover"
H011,19:00,2,58,walkin,,0,false,20,"quick late pair"
H012,19:08,7,102,reservation,19:00,15,false,40,"delayed reservation"
H013,19:18,6,96,walkin,,0,false,35,"extended family"
H014,19:30,3,72,walkin,,0,false,25,"post-film trio"
H015,19:42,8,115,reservation,19:40,15,false,45,"graduation dinner"
H016,19:56,4,82,walkin,,0,false,28,"late family"
