group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,grace_period,no_show_flag,abandon_tolerance,notes
S001,18:00,2,34,walkin,,0,false,14,opening pair
S002,18:02,3,38,walkin,,0,false,16,after-school trio
S003,18:04,2,32,walkin,,0,false,12,quick drink pair
S004,18:06,4,42,walkin,,0,false,16,crowded walk-in group
S005,18:08,1,24,walkin,,0,false,10,solo stop
S006,18:10,5,48,walkin,,0,false,18,family peak wave
S007,18:12,2,31,walkin,,0,false,10,low tolerance pair
S008,18:14,4,44,walkin,,0,false,15,student group
S009,18:16,2,30,walkin,,0,false,9,impatient pair
S010,18:18,3,40,walkin,,0,false,14,movie crowd trio
S011,18:20,6,52,walkin,,0,false,22,large walk-in group
S012,18:22,2,28,walkin,,0,false,8,very low tolerance pair
S013,18:24,4,45,walkin,,0,false,14,after-work group
S014,18:27,2,29,walkin,,0,false,8,short-stay pair
S015,18:30,3,38,walkin,,0,false,12,students under time pressure
S016,18:33,5,50,walkin,,0,false,18,family with children
S017,18:36,2,30,walkin,,0,false,8,impatient late pair
S018,18:39,4,46,walkin,,0,false,14,peak overflow group
S019,18:42,1,22,walkin,,0,false,8,solo refreshment stop
S020,18:45,3,39,walkin,,0,false,12,tail-end trio
S021,18:49,2,28,walkin,,0,false,8,very low tolerance pair
S022,18:53,4,44,walkin,,0,false,14,final dense group
S023,18:58,2,27,walkin,,0,false,8,last impatient pair
S024,19:03,3,36,walkin,,0,false,12,late trio
S025,19:09,2,29,walkin,,0,false,9,post-rush pair
S026,19:16,4,40,walkin,,0,false,14,last family table
S027,19:24,2,26,walkin,,0,false,8,tail-end pair
S028,19:33,3,35,walkin,,0,false,12,final small group
